Date,Open,High,Low,Close,Adj Close,Volume
2013-12-24,43.616669,43.616669,43.103333,43.403336,41.263107,331200
2013-12-26,43.626667,44.053333,43.543335,43.686665,41.532471,438600
2013-12-27,43.906666,43.906666,43.190002,43.279999,41.145851,279000
2013-12-30,43.016666,43.493332,42.733334,43.410000,41.269440,1388700
2013-12-31,43.553333,43.779999,43.293335,43.399998,41.259933,1333500
2014-01-02,43.399998,43.750000,42.883331,43.613331,41.462746,1539000
2014-01-03,43.730000,43.946667,43.450001,43.473331,41.329651,1657200
2014-01-06,43.600002,43.710003,42.700001,42.973331,40.854305,1041900
2014-01-07,43.496670,44.046665,43.496670,44.006668,41.836685,2718300
2014-01-08,43.883331,45.193333,43.776669,45.149998,42.923645,1823100
2014-01-09,47.333332,48.546665,47.193333,48.543335,46.149647,3359700
2014-01-10,49.539997,51.250000,49.456665,51.203335,48.678486,2862900
2014-01-13,51.076664,52.049999,49.596664,50.220001,47.743641,1679700
2014-01-14,50.693333,50.903336,49.649998,50.509998,48.019344,978000
2014-01-15,50.996670,51.000000,49.950001,50.793335,48.288704,568500
2014-01-16,51.000000,51.840000,50.723331,51.830002,49.274250,1155900
2014-01-17,52.066666,52.820004,51.876667,52.220001,49.645020,757800
2014-01-21,52.960003,53.383331,51.883331,53.340000,50.709789,1690500
2014-01-22,53.850002,53.850002,52.916668,53.166668,50.545010,862200
2014-01-23,53.043335,53.309998,52.410000,53.149998,50.529152,741000
2014-01-24,52.666668,52.716663,51.236668,51.363331,48.830589,1974900
2014-01-27,51.373333,51.373333,47.983334,49.206665,46.780266,2457600
2014-01-28,49.513332,50.943333,49.513332,50.686665,48.187302,2335500
2014-01-29,50.363331,51.190002,49.583332,50.083332,47.613712,1248900
2014-01-30,50.846664,51.940002,50.570004,51.246670,48.719688,853800
2014-01-31,50.526669,50.919998,49.990002,50.070004,47.601044,549900
2014-02-03,49.996670,49.996670,47.456665,47.779999,45.423958,1489200
2014-02-04,48.049999,48.943333,47.946667,48.453335,46.064083,917400
2014-02-05,48.506668,48.593334,46.369999,47.509998,45.167274,996300
2014-02-06,47.836666,47.840000,47.000000,47.200001,44.872555,717000
